,National Highways,OSMRI,States,length,routes,National Highway URLS,OSMRI_URL
0,National Highway 1 (India),3194791,Jammu and Kashmir,535 km (332 mi),"(NH1A) Uri, Baramula, (NH1D) Srinagar, Kargil, Leh",https://en.wikipedia.org/wiki/National_Highway_1_(India),http://openstreetmap.org/browse/relation/3194791
1,National Highway 2 (India),3194847,Assam,"1,214 km (754 mi)","(NH37) NH15 near Dibrugrah, Sibsagar, (NH61) Jhanji, Amguri, Mokokchung, Wohka, (NH39) Kohima, (NH150) Imphal, Churachandpur, (NH54) Seling, Serchhip, Lawngtla, Tuipang",https://en.wikipedia.org/wiki/National_Highway_2_(India),http://openstreetmap.org/browse/relation/3194847
2,National Highway 102 (India),3207333,Manipur,107 km (66 mi),"(NH39) NH2 near Imphal, Moreh",https://en.wikipedia.org/wiki/National_Highway_102_(India),http://openstreetmap.org/browse/relation/3207333
3,National Highway 202 (India),3207789,Nagaland,460 km (290 mi),"(NH155) NH2 near Mokokchung, Tuensang, Sampurre, Meluri, (NH150) Jessami, Ukhrul, NH2 near Imphal",https://en.wikipedia.org/wiki/National_Highway_202_(India),http://openstreetmap.org/browse/relation/3207789
4,National Highway 302 (India),3208481,Mizoram,10 km (6.2 mi),"(NH54A) NH2 near Therait, Lunglei",https://en.wikipedia.org/wiki/National_Highway_302_(India),http://openstreetmap.org/browse/relation/3208481
5,National Highway 502 (India),3208496,Mizoram,23 km (14 mi),"(NH54B) NH2 near Venus Saddle, Saiha",https://en.wikipedia.org/wiki/National_Highway_502_(India),http://openstreetmap.org/browse/relation/3208496
6,National Highway 3 (India),3195225,Uttar Pradesh,"1,190 km (740 mi)","Agra, Dholpur, Morena, Gwalior, Shivpuri, Guna, Biaora, ",https://en.wikipedia.org/wiki/National_Highway_3_(India),http://openstreetmap.org/browse/relation/3195225
7,National Highway 103 (India),3208959,Himachal Pradesh,58 km (36 mi),"(NH88) NH3 near Hamirpur, Bhota, Ghumarwain, NH154 near Ghaghas",https://en.wikipedia.org/wiki/National_Highway_103_(India),http://openstreetmap.org/browse/relation/3208959
8,National Highway 303 (India),3209917,Himachal Pradesh,60 km (37 mi),"(NH20A) NH154 near Nagrota, (NH88) Daulatur, Ranital, Jawalamukhi, NH3 near Nadaun",https://en.wikipedia.org/wiki/National_Highway_303_(India),http://openstreetmap.org/browse/relation/3209917
9,National Highway 133 (India),,Jharkhand,200 km (120 mi),"Pirpainti, Godda, Deoghar",https://en.wikipedia.org/wiki/National_Highway_133_(India),None
10,National Highway 503 (India),3209984,Himachal Pradesh,70 km (43 mi),"(NH88) NH154 near Mataur, Kangra, (NH20A) Ranital, Dera Gopipur, NH3 near Mubarakpur",https://en.wikipedia.org/wiki/National_Highway_503_(India),http://openstreetmap.org/browse/relation/3209984
11,National Highway 703 (India),3210116,Punjab,144 km (89 mi),"(NH71) NH44 near Jaland, Nakodar, Mahatpur, Moga, Badhni, NH7 near Barnala",https://en.wikipedia.org/wiki/National_Highway_703_(India),http://openstreetmap.org/browse/relation/3210116
12,National Highway 4 (India),3210218,Andaman & Nicobar,230 km (140 mi),"(NH223) Mayabandar, Port Blair, Chiriyatapu",https://en.wikipedia.org/wiki/National_Highway_4_(India),http://openstreetmap.org/browse/relation/3210218
13,National Highway 5 (India),3195290,Punjab,637 km (396 mi),"(NH95) Firozepur, Moga, Jagraon, Ludhiana, (NH21) Kharar, (NH22) Chandigarh, Kalka, Solan, Shimla, Theog, Narkanda, Rampur, Chini, Shipkila",https://en.wikipedia.org/wiki/National_Highway_5_(India),http://openstreetmap.org/browse/relation/3195290
14,National Highway 105 (India),3210467,Himachal Pradesh,67 km (42 mi),"(NH21A) NH5 near Pinjore, Baddi, Nalagarh, NH205 near Swarghat",https://en.wikipedia.org/wiki/National_Highway_105_(India),http://openstreetmap.org/browse/relation/3210467
15,National Highway 205 (India),3210477,Himachal Pradesh,183 km (114 mi),"(NH21) Kharar Ropar, Swarghat, (NH88) Nauni, Darlaghat, NH5 near Shimla",https://en.wikipedia.org/wiki/National_Highway_205_(India),http://openstreetmap.org/browse/relation/3210477
16,National Highway 6 (India),3257907,Gujarat,"1,873 km (1,164 mi)","Surat, Dhule, Jalgaon, Bhusaval, Akola, Amravati, Nagpur, Bhandara, Durg, Raipur, Mahasamund, Sambalpur, Kolkata",https://en.wikipedia.org/wiki/National_Highway_6_(India),http://openstreetmap.org/browse/relation/3257907
17,National Highway 106 (India),3258906,Meghalaya,82 km (51 mi),"(NH44E) Shillong, Nongstoin",https://en.wikipedia.org/wiki/National_Highway_106_(India),http://openstreetmap.org/browse/relation/3258906
18,National Highway 206 (India),3258935,Meghalaya,126 km (78 mi),"(NH40) Jowai, Dauki, Mylliem",https://en.wikipedia.org/wiki/National_Highway_206_(India),http://openstreetmap.org/browse/relation/3258935
19,National Highway 306 (India),3258947,Assam,,"(NH54) Kolasib, Silchar",https://en.wikipedia.org/wiki/National_Highway_306_(India),http://openstreetmap.org/browse/relation/3258947
20,National Highway 7 (India),3195344,Punjab,770 km (480 mi),"(NH10) Fazilka, (NH15) Abohar, Malaut, (NH64) Bathinda, Barnala, Sangrur, Patiala, Rajpura, (NH73) Panchkula, Raipur Rani, (NH72) Narayangarh, Dhanana, Ponta-Sahib, Dehradun, (NH58) Rishikesh, Devprayag, Rudraprayag, Karnaprayag, Chamoli, Badrinath, Mana",https://en.wikipedia.org/wiki/National_Highway_7_(India),http://openstreetmap.org/browse/relation/3195344
21,National Highway 107 (India),3210938,Uttarakhand,74 km (46 mi),"(NH109) Rudraprayag, Guptkashi Phata, Gaurikund",https://en.wikipedia.org/wiki/National_Highway_107_(India),http://openstreetmap.org/browse/relation/3210938
22,National Highway 307 (India),3210976,Uttarakhand,46 km (29 mi),"(NH72A) Dehradun, Mohand, Biharigarh, Chhutmalpur",https://en.wikipedia.org/wiki/National_Highway_307_(India),http://openstreetmap.org/browse/relation/3210976
23,National Highway 507 (India),3211487,Uttarakhand,109 km (68 mi),"(NH123) Harbatpur, Vikasnagar, Kalsi, Barkot,",https://en.wikipedia.org/wiki/National_Highway_507_(India),http://openstreetmap.org/browse/relation/3211487
24,National Highway 707 (India),3211535,Himachal Pradesh,151 km (94 mi),"(NH72B) Paonta Sahib, Rajban, Shillai, Minas, Minus-Tiuni, Hatkoti",https://en.wikipedia.org/wiki/National_Highway_707_(India),http://openstreetmap.org/browse/relation/3211535
25,National Highway 907 (India),3211948,Himachal Pradesh,60 km (37 mi),"(NH73A) Paonta Sahib, Darpur, Ledi, Mustafabad, Jagadhri, Yamuna Nagar",https://en.wikipedia.org/wiki/National_Highway_907_(India),http://openstreetmap.org/browse/relation/3211948
26,National Highway 8 (India),3211965,Assam,371 km (231 mi),"(NH44) Karimganj, Patharkandi, Churaibari, Ambasa, Teliamura, Agartala, Udaipur, Sabrum Indo",https://en.wikipedia.org/wiki/National_Highway_8_(India),http://openstreetmap.org/browse/relation/3211965
27,National Highway 108 (India),3213212,Tripura,,"(NH44A) Namu, Mamit, Lengpui, Sairang, Aizawl",https://en.wikipedia.org/wiki/National_Highway_108_(India),http://openstreetmap.org/browse/relation/3213212
28,National Highway 9 (India),3196981,Punjab,811 km (504 mi),"(NH10) Malaut, Dabwali, Sirsa, Fatehabad, Hisar, Hansi, Rohtak, Bahadurgarh, (NH24) Delhi, Ghaziabad, Moradabad, (NH87) Rampur, Bilaspur, (NH74) Rudrapur, (NH125) Sitarganj-Khatima, Tanakpur, Pithoragarh",https://en.wikipedia.org/wiki/National_Highway_9_(India),http://openstreetmap.org/browse/relation/3196981
29,National Highway 109 (India),3213787,Uttarakhand,284 km (176 mi),"(NH87) Rudrapur, Haldwani, Nainital, Bhowali, Almora, Ranikhet, Dwarahat, Chaukhutiya, Gairsaing, Aobadri, Karnaprayag",https://en.wikipedia.org/wiki/National_Highway_109_(India),http://openstreetmap.org/browse/relation/3213787
30,National Highway 309 (India),3214038,Uttarakhand,287 km (178 mi),"(NH74) Rudrapur, (NH121) Kashipur, Ramnagar, Dhumakot, Thalisain, Tripalisan, (NH119) Bubakhal, Pauri, Srinagar",https://en.wikipedia.org/wiki/National_Highway_309_(India),http://openstreetmap.org/browse/relation/3214038
31,National Highway 509 (India),3214363,Uttar Pradesh,239 km (149 mi),"(NH93) Moradabad, Chandausi, Babrala, Aligarh, Agra",https://en.wikipedia.org/wiki/National_Highway_509_(India),http://openstreetmap.org/browse/relation/3214363
32,National Highway 709 (India),3214590,Haryana,68 km (42 mi),"(NH71A) Rohtak, Gohana, Panipat",https://en.wikipedia.org/wiki/National_Highway_709_(India),http://openstreetmap.org/browse/relation/3214590
33,National Highway 10 (India),3214598,Sikkim,174 km (108 mi),"(NH31) Siliguri, (NH31A) Sivok, Kalimpang, Gangtok, (NH310) border ??",https://en.wikipedia.org/wiki/National_Highway_10_(India),http://openstreetmap.org/browse/relation/3214598
34,National Highway 110 (India),3214645,West Bengal,76 km (47 mi),"(NH55) Siliguri, Karsiyang, Darjeeling",https://en.wikipedia.org/wiki/National_Highway_110_(India),http://openstreetmap.org/browse/relation/3214645
35,National Highway 11 (India),3187168,Rajasthan,495 km (308 mi),"(NH15) Jaisalmer, Pokaran, (NH11) Bikaner, Sri Dungargarh, Ratangarh, Fatehpur",https://en.wikipedia.org/wiki/National_Highway_11_(India),http://openstreetmap.org/browse/relation/3187168
36,National Highway 325 (India),3836269,Rajasthan,135 km (84 mi),"NH25 near Balotra, Siwana, Jalore, Ahore, Takhatgarh, NH14 near Sanderao",https://en.wikipedia.org/wiki/National_Highway_325_(India),http://openstreetmap.org/browse/relation/3836269
37,National Highway 12 (India),3214746,West Bengal,612 km (380 mi),"(NH34) Dalkola, Raiganj, Gajol, Maldah, Farakka, Morgram, Baharampur, Krishananagar, Ranaghat, Barasat, (NH117) Kolkata, Kakdwip, Bok-Khali",https://en.wikipedia.org/wiki/National_Highway_12_(India),http://openstreetmap.org/browse/relation/3214746
38,National Highway 112 (India),3214989,West Bengal,59 km (37 mi),"(NH35) Barasat, Gaighata, Bangaon, border",https://en.wikipedia.org/wiki/National_Highway_112_(India),http://openstreetmap.org/browse/relation/3214989
39,National Highway 13 (India),3215052,Arunachal Pradesh,"1,150 km (710 mi)","(NH229) Tawang, Jang, Sela Lake, Baisakhi, Senge, Mohan Camp, Dirang, Dangsing, Bomdila, Tenga Valley, Kimi, Palizi, Seppa, Sagalee, Midpu, Hoz, Yazali, Ziro Town, Daporijo, Bam, Along, Biru, Pangin, Pasighat (NH-52).",https://en.wikipedia.org/wiki/National_Highway_13_(India),http://openstreetmap.org/browse/relation/3215052
40,National Highway 14 (India),3216171,West Bengal,306 km (190 mi),"(NH60) Morgram, Rampur Hat, Siuri, Raniganj, (NH60A) Bankura, Garhbeta, Salbani, Kharagpur",https://en.wikipedia.org/wiki/National_Highway_14_(India),http://openstreetmap.org/browse/relation/3216171
41,National Highway 114 (India),3216499,West Bengal,109 km (68 mi),"(NH2B Ext) Mallarpur, Mayureswar, Prantik, (NH2B) Bolpur, Bhedia, Guskhara, Talit, Barddhaman",https://en.wikipedia.org/wiki/National_Highway_114_(India),http://openstreetmap.org/browse/relation/3216499
42,National Highway 314 (India),3216523,West Bengal,87 km (54 mi),"(NH60A) Bankura, Puruliya",https://en.wikipedia.org/wiki/National_Highway_314_(India),http://openstreetmap.org/browse/relation/3216523
43,National Highway 15 (India),3216908,Assam,664 km (413 mi),"(NH52) Baihata-Charali, Mangaldai, Dhekiajui, Tezpur, Banderdeva, North Lakhimpur, (NH52B) Kulajan, (NH37) Dibrugarh, Tinsukia, (NH52) Rupai, Mahadevpur, Wakro",https://en.wikipedia.org/wiki/National_Highway_15_(India),http://openstreetmap.org/browse/relation/3216908
44,National Highway 115 (India),3217348,Assam,64 km (40 mi),"(NH37) Dum Duma, Saikhoaghat, Kundil Bazar, Roing",https://en.wikipedia.org/wiki/National_Highway_115_(India),http://openstreetmap.org/browse/relation/3217348
45,National Highway 215 (India),3217522,Assam,,"(NH52B) Mahadevpur, Namchik, Changlang, Khonsa, Kanubari, Dibrugarh",https://en.wikipedia.org/wiki/National_Highway_215_(India),http://openstreetmap.org/browse/relation/3217522
46,National Highway 315 (India),3217452,Assam,111 km (69 mi),"(NH153) Makum, Ledo, Lekhapani, border",https://en.wikipedia.org/wiki/National_Highway_315_(India),http://openstreetmap.org/browse/relation/3217452
47,National Highway 415 (India),3217523,Assam,59 km (37 mi),"(NH52A) Ghopur, Itanagar, Daimukh, Banderdeva",https://en.wikipedia.org/wiki/National_Highway_415_(India),http://openstreetmap.org/browse/relation/3217523
48,National Highway 515 (India),3217636,Assam,111 km (69 mi),"(NH52) Kulajan, Jonai, Pasighat",https://en.wikipedia.org/wiki/National_Highway_515_(India),http://openstreetmap.org/browse/relation/3217636
49,National Highway 715 (India),3217671,Assam,197 km (122 mi),"(NH37A) Tejpur, (NH37) Kaliabor, Jakhalabandha, Bokakhat, Jorhat, Jhanji",https://en.wikipedia.org/wiki/National_Highway_715_(India),http://openstreetmap.org/browse/relation/3217671
50,National Highway 16 (India),3198047,West Bengal,"1,659 km (1,031 mi)","(NH6) Kolkata, (NH60) Kharagpur, (New number NH16 - Old number NH5) Baleshwar, Cuttack, Bhubaneshwar, Vishakhapatnam, Vijayawada, Nellore, Chennai",https://en.wikipedia.org/wiki/National_Highway_16_(India),http://openstreetmap.org/browse/relation/3198047
51,National Highway 116 (India),3218639,West Bengal,52 km (32 mi),"(NH41) Kolaghat, Haldia Port",https://en.wikipedia.org/wiki/National_Highway_116_(India),http://openstreetmap.org/browse/relation/3218639
52,National Highway 216 (India),3218647,Andhra Pradesh,397 km (247 mi),"(NH214) Kathipudi, Kakinada, (NH214A) Machilipatnam, Ongole",https://en.wikipedia.org/wiki/National_Highway_216_(India),http://openstreetmap.org/browse/relation/3218647
53,National Highway 316 (India),3281634,Odisha,,"(NH203) NH16 near Bhubaneshwar - Puri - Konark, (NH203A) Puri - Satpada",https://en.wikipedia.org/wiki/National_Highway_316_(India),http://openstreetmap.org/browse/relation/3281634
54,National Highway 516 (India),3282556,Odisha,8.3 km (5.2 mi),(NH217) NH16 near Narendrapur - Gopalpur,https://en.wikipedia.org/wiki/National_Highway_516_(India),http://openstreetmap.org/browse/relation/3282556
55,National Highway 716 (India),3219078,Andhra Pradesh,147 km (91 mi),"(NH205) Chennai, Tiruttani, Reangunta",https://en.wikipedia.org/wiki/National_Highway_716_(India),http://openstreetmap.org/browse/relation/3219078
56,National Highway 17 (India),3219773,West Bengal,477 km (296 mi),"(NH31) NH10 near Sivok, Bagrakot, (NH31C) Chalsa, Nagarkata, (NH31) Goyerkata, Bispara, Falakata, Sonarpur, Koch-Bihar, Tufanganj, Golakganj, Bilasipara, (NH31B) North Salmana, (NH37) Goalpara, Boko, NH27 near Guwahati",https://en.wikipedia.org/wiki/National_Highway_17_(India),http://openstreetmap.org/browse/relation/3219773
57,National Highway 117 (India),3219792,Assam,14 km (8.7 mi),"(NH31) NH17 near North Salmara, NH27 near Bijni",https://en.wikipedia.org/wiki/National_Highway_117_(India),http://openstreetmap.org/browse/relation/3219792
58,National Highway 217 (India),3219799,Assam,307 km (191 mi),"(NH51) NH17 near Paikan, Tura, (NH62) Dalu, Baghmara, Rongjeng Damra, NH17 near Dudhnai",https://en.wikipedia.org/wiki/National_Highway_217_(India),http://openstreetmap.org/browse/relation/3219799
59,National Highway 317 (India),3220294,West Bengal,67 km (42 mi),"(NH31C) NH17 near Birpara, Madari Hat, Rajabaht Khawa, NH27 near Salsabari",https://en.wikipedia.org/wiki/National_Highway_317_(India),http://openstreetmap.org/browse/relation/3220294
60,National Highway 517 (India),,West Bengal,,"NH17 near Goyerkata, NH27 near Dhupgari",https://en.wikipedia.org/wiki/National_Highway_517_(India),None
61,National Highway 717 (India),3259562,West Bengal,41 km (25 mi),"NH17 near Chalsa, NH27 near Mainaguri",https://en.wikipedia.org/wiki/National_Highway_717_(India),http://openstreetmap.org/browse/relation/3259562
62,National Highway 18 (India),3220404,Jharkhand,359 km (223 mi),"(NH32) NH19 near Govindpur, Dhanbad Cas, Puruliya, Balarampur, (NH33) Chandil, Ghatshila, (NH6) Baharagora, (NH5) junction with NH49, Baripada, Betnoti, NH16 near Baleshwar",https://en.wikipedia.org/wiki/National_Highway_18_(India),http://openstreetmap.org/browse/relation/3220404
63,National Highway 118 (India),3291021,Jharkhand,5 km (3.1 mi),"NH18 near Asanbani, Jamshedpur",https://en.wikipedia.org/wiki/National_Highway_118_(India),http://openstreetmap.org/browse/relation/3291021
64,National Highway 19 (India),3198928,Delhi,"1,435 km (892 mi)","(NH2) Delhi, Mathura, Agra, Kanpur, Allahabad, Varanasi, Mohania, Aurangabad, Dobhi, Barhi, Bagadar, Gobindpur, Asansol, Palsit, Kolkata",https://en.wikipedia.org/wiki/National_Highway_19_(India),http://openstreetmap.org/browse/relation/3198928
65,National Highway 119 (India),3220719,Bihar,75 km (47 mi),"(NH2C) NH19 near Dehri, Jadunathpur, border Bihar/UP",https://en.wikipedia.org/wiki/National_Highway_119_(India),http://openstreetmap.org/browse/relation/3220719
66,National Highway 319 (India),3220892,Bihar,117 km (73 mi),"(NH30) NH19 near Mohania, Dinara, Charpokhari, NH922 near Ara",https://en.wikipedia.org/wiki/National_Highway_319_(India),http://openstreetmap.org/browse/relation/3220892
67,National Highway 519 (India),3220940,Uttar Pradesh,28 km (17 mi),"(NH2A) NH19 near Sikandara, NH27 near Bhognipur",https://en.wikipedia.org/wiki/National_Highway_519_(India),http://openstreetmap.org/browse/relation/3220940
68,National Highway 719 (India),3220992,Uttar Pradesh,124 km (77 mi),"(NH92) NH19 near Etawah, Bhind, NH44 near Gwalior",https://en.wikipedia.org/wiki/National_Highway_719_(India),http://openstreetmap.org/browse/relation/3220992
69,National Highway 919 (India),3221023,Haryana,74 km (46 mi),"(NH71B) NH19 near Palwal, Sohna, Dharuhera, NH352 near Rewari",https://en.wikipedia.org/wiki/National_Highway_919_(India),http://openstreetmap.org/browse/relation/3221023
70,National Highway 20 (India),3222093,Bihar,658 km (409 mi),"(NH31) NH31 near Bakhtiyarpur, Bihar Sharif, Nawada, Rajauli, Kodarma, (NH33) Barhi, Hazaribag, (NH75) Ranchi, Khunti, Murhu, Chakradharpur, Chaibasa, Jaintgarh, Parsora, (NH215) Kendujhargarh, NH16 near Panikholi",https://en.wikipedia.org/wiki/National_Highway_20_(India),http://openstreetmap.org/browse/relation/3222093
71,National Highway 120 (India),3222301,Bihar,92 km (57 mi),"(NH82) NH20 near Bihar Sharif, Nalanda, Rajgir, Hisua, NH22 near Gaya",https://en.wikipedia.org/wiki/National_Highway_120_(India),http://openstreetmap.org/browse/relation/3222301
72,National Highway 320 (India),3222553,Jharkhand,86 km (53 mi),"(NH23) NH20 near Ramgarh, Gola, NH18 near Chas",https://en.wikipedia.org/wiki/National_Highway_320_(India),http://openstreetmap.org/browse/relation/3222553
73,National Highway 520 (India),3222572,Odisha,105 km (65 mi),"(NH125) Parsora, NH143 near Rajamundra",https://en.wikipedia.org/wiki/National_Highway_520_(India),http://openstreetmap.org/browse/relation/3222572
74,National Highway 21 (India),3189802,Rajasthan,262 km (163 mi),"(NH11) Jaipur, Dausa, Bharatpur, Agra",https://en.wikipedia.org/wiki/National_Highway_21_(India),http://openstreetmap.org/browse/relation/3189802
75,National Highway 22 (India),3222675,Bihar,416 km (258 mi),"(NH77) border near Sonbarsa, Sitamarhi, Muzaffarpur, (NH19) Hajipur, (NH83) Patna, Punpun, Gaya, Bodh Gaya, (NH99) Dobhi, Hunterganj, Chatra, NH39 near Chandwa",https://en.wikipedia.org/wiki/National_Highway_22_(India),http://openstreetmap.org/browse/relation/3222675
76,National Highway 122 (India),3222808,Bihar,101 km (63 mi),"(NH28) NH22 near Muzaffarpur, Dholi, Mushrigharari, NH31 near Barauni",https://en.wikipedia.org/wiki/National_Highway_122_(India),http://openstreetmap.org/browse/relation/3222808
77,National Highway 322 (India),3222817,Bihar,58 km (36 mi),"(NH103) NH22 near Hazipur, NH122 near Mushrigharari",https://en.wikipedia.org/wiki/National_Highway_322_(India),http://openstreetmap.org/browse/relation/3222817
78,National Highway 522 (India),3223144,Jharkhand,119 km (74 mi),"(NH100) NH22 near Chatra, Hazaribagh, NH19 near Bagodar",https://en.wikipedia.org/wiki/National_Highway_522_(India),http://openstreetmap.org/browse/relation/3223144
79,National Highway 722 (India),3223177,Bihar,74 km (46 mi),"(NH102) NH22 near Muzaffarpur, Rewaghat, NH31 near Chhapra",https://en.wikipedia.org/wiki/National_Highway_722_(India),http://openstreetmap.org/browse/relation/3223177
